	Running	Not created	Synchronization	Scheduling and Fork/Join	I/O	
THREAD 1.1.1	91.19	0.32	0.35	7.89	0.25	
THREAD 1.1.2	85.17	5.81	4.44	0.00	4.57	
THREAD 1.1.3	83.58	5.80	7.62	0.00	3.00	
THREAD 1.1.4	84.85	6.06	5.88	0.00	3.21	
THREAD 1.1.5	82.49	6.00	8.85	0.00	2.65	
THREAD 1.1.6	82.96	6.20	8.47	0.00	2.36	
THREAD 1.1.7	84.33	6.38	7.11	0.00	2.18	
THREAD 1.1.8	86.35	6.61	4.83	0.00	2.20	

Total	680.93	43.19	47.56	7.89	20.43	
Average	85.12	5.40	5.94	7.89	2.55	
Maximum	91.19	6.61	8.85	7.89	4.57	
Minimum	82.49	0.32	0.35	7.89	0.25	
Stdev	2.57	1.94	2.59	0.00	1.14	
Avg/Max	0.93	0.82	0.67	1.00	0.56	

